Player,PositionCategory,Position,Height,Weight,Salary,Experience
Marc Gasol,C,C,83,255,2564753.0,12
Grayson Allen,G,SG,76,198,2545320.0,2
Grant Williams,F,PF,78,236,2498760.0,1
Chandler Hutchison,F,SF,79,210,2443440.0,2
Aaron Holiday,G,PG,72,185,2345640.0,2
Darius Bazley,F,PF,80,208,2339160.0,1
Bryn Forbes,G,SG,74,205,2337145.0,4
Ty Jerome,G,PG,77,195,2303040.0,1
Mike Muscala,F,PF,82,240,2283034.0,7
Ben McLemore,G,SG,75,195,2283034.0,7
Alex Len,C,C,84,250,2258000.0,7
Anfernee Simons,G,SG,75,181,2252040.0,2
Brad Wanamaker,G,PG,75,210,2250000.0,2
Luke Kornet,F,PF,86,250,2250000.0,3
Nassir Little,F,SF,77,220,2210640.0,1
Moritz Wagner,F,PF,83,245,2161920.0,2
Edmond Sumner,G,PG,76,196,2160000.0,3
Dylan Windler,G,PG,78,196,2137440.0,0
John Konchar,G,PG,77,210,2100000.0,1
Landry Shamet,G,SG,76,190,2090040.0,2
Mfiondu Kabengele,F,PF,81,250,2075880.0,1
Jordan Poole,G,PG,76,194,2063280.0,1
Bol Bol,C,C,86,220,2058240.0,1
Keldon Johnson,G,PG,77,220,2048040.0,1
Robert Williams,F,PF,80,237,2029920.0,2
Damyean Dotson,G,SG,77,210,2000000.0,3
Gary Clark,F,PF,78,225,2000000.0,2
Cameron Payne,G,PG,73,183,1977011.0,5
Jontay Porter,C,C,83,240,1900000.0,0
Jahlil Okafor,C,C,82,270,1882867.0,5
David Nwaba,G,SG,77,219,1824003.0,4
Marquese Chriss,F,PF,81,240,1824003.0,4
Georges Niang,F,SF,79,230,1783557.0,4
Rodions Kurucs,F,PF,81,228,1780152.0,2
Damion Lee,G,SG,77,210,1762796.0,3
Furkan Korkmaz,G,SG,79,202,1762796.0,3
Alfonzo McKinnie,F,SF,79,215,1762796.0,3
PJ Dozier,G,PG,78,205,1762796.0,3
Abdel Nader,F,SF,77,225,1752950.0,3
Semi Ojeleye,F,PF,78,240,1752950.0,3
DeAndre' Bembry,F,SF,77,210,1737145.0,4
Damian Jones,C,C,83,245,1737145.0,4
Kevin Porter Jr.,G,PG,76,203,1717981.0,1
Brandon Goodwin,G,PG,72,180,1701593.0,2
Thanasis Antetokounmpo,F,SF,78,219,1701593.0,2
Shake Milton,G,SG,77,205,1701593.0,2
Dwayne Bacon,F,SF,78,221,1678854.0,3
Wes Iwundu,F,SF,78,195,1678854.0,3
Bruce Brown,G,SG,76,202,1663861.0,2
Jalen Brunson,G,PG,73,190,1663861.0,2
Duncan Robinson,G,PG,79,215,1663861.0,2
Keita Bates-Diop,F,SF,80,229,1663861.0,2
Svi Mykhailiuk,F,SF,79,205,1663861.0,2
Kendrick Nunn,G,PG,74,190,1663861.0,1
Gary Trent Jr.,G,SG,77,209,1663861.0,2
Isaac Bonga,G,PG,80,180,1663861.0,2
Mitchell Robinson,C,C,84,240,1663861.0,2
Jarred Vanderbilt,F,PF,81,214,1663361.0,2
Wayne Ellington,G,SG,76,207,1620564.0,11
Solomon Hill,F,SF,78,226,1620564.0,7
Guillermo Hernangómez,C,C,83,250,1620564.0,4
Jeff Teague,G,PG,75,195,1620564.0,11
Shaquille Harrison,G,PG,79,190,1620564.0,3
Kent Bazemore,G,SG,76,195,1620564.0,8
Frank Kaminsky,F,PF,84,240,1620564.0,5
Langston Galloway,G,SG,73,200,1620564.0,6
Markieff Morris,F,PF,80,245,1620564.0,9
Raul Neto,G,PG,73,180,1620564.0,5
Nicolas Batum,G,SG,81,230,1620564.0,12
Jared Dudley,F,SF,78,237,1620564.0,13
Glenn Robinson III,G,SG,78,222,1620564.0,6
Carmelo Anthony,F,PF,79,238,1620564.0,17
Udonis Haslem,F,PF,80,235,1620564.0,17
Jeff Green,F,SF,80,235,1620564.0,12
DeMarcus Cousins,C,C,82,270,1620564.0,9
E'Twaun Moore,G,SG,75,191,1620564.0,9
Isaiah Hartenstein,F,PF,84,250,1620564.0,2
Wenyen Gabriel,F,PF,81,205,1620564.0,1
Quinn Cook,G,PG,73,180,1620564.0,4
Hassan Whiteside,C,C,84,265,1620564.0,8
Harry Giles III,F,PF,83,240,1620564.0,2
Reggie Jackson,G,PG,75,208,1620564.0,9
Matthew Dellavedova,G,PG,75,200,1620564.0,7
Chimezie Metu,F,PF,81,225,1620564.0,2
Tyler Johnson,G,SG,75,186,1620564.0,6
Drew Eubanks,C,C,81,245,1620564.0,2
Torrey Craig,G,SG,79,221,1620564.0,3
Sterling Brown,G,SG,77,219,1620564.0,3
Jakarr Sampson,F,SF,79,214,1620564.0,5
Sindarius Thornwell,G,SG,76,215,1620564.0,3
Dwight Howard,C,C,82,265,1620564.0,16
Monte Morris,G,PG,74,183,1588231.0,3
Jalen Lecque,G,PG,76,185,1517981.0,1
Caleb Martin,G,PG,77,205,1517981.0,1
Justin James,G,PG,79,190,1517981.0,1
Terance Mann,G,PG,77,215,1517981.0,1
Ignas Brazdeikis,F,SF,78,221,1517981.0,1
Luguentz Dort,G,PG,75,215,1517981.0,1
Jalen McDaniels,F,PF,82,205,1517981.0,1
Chris Silva,C,C,80,234,1517981.0,1
Matt Thomas,G,PG,76,190,1517981.0,1
Dean Wade,F,PF,81,228,1517981.0,1
Jaylen Nowell,G,PG,76,201,1517981.0,1
Miye Oni,G,PG,77,206,1517981.0,1
Daniel Gafford,F,PF,82,234,1517981.0,1
Terence Davis,F,PF,76,201,1517981.0,1
Juan Toscano-Anderson,F,PF,78,209,1517981.0,1
Juwan Morgan,F,PF,79,232,1517981.0,1
Naz Reid,C,C,81,264,1517981.0,1
Mychal Mulder,G,PG,75,184,1517981.0,1
Bruno Fernando,F,PF,81,240,1517981.0,1
Carsen Edwards,G,PG,71,200,1517981.0,1
Vlatko Cancar,F,SF,80,236,1517981.0,1
Devonte' Graham,G,PG,73,195,1517981.0,2
KZ Okpala,F,PF,80,215,1517981.0,1
Nicolas Claxton,F,PF,83,215,1517981.0,1
Javonte Green,F,PF,76,205,1517981.0,1
Talen Horton-Tucker,G,PG,76,234,1517981.0,1
Alen Smailagic,F,PF,82,215,1517981.0,1
Eric Paschall,F,PF,78,255,1517981.0,1
Isaiah Roby,F,PF,80,230,1517981.0,1
Kelan Martin,F,PF,77,230,1445697.0,1
DaQuan Jeffries,G,PG,77,230,1445697.0,1
Theo Pinson,G,PG,77,212,1445697.0,2
Paul Watson,G,PG,78,210,1445697.0,1
Taj Gibson,F,PF,81,232,1442968.0,11
Iman Shumpert,G,SG,77,212,1419138.0,9
Jaylen Adams,G,PG,72,225,1416852.0,1
Kenrich Williams,F,PF,78,210,1416852.0,2
Hamidou Diallo,G,SG,77,202,1416852.0,2
Cody Martin,F,PF,77,205,1173310.0,1
Paul Millsap,F,PF,79,257,1000000.0,14
Max Strus,G,PG,77,215,898310.0,1
Timothé Luwawu-Cabarrot,G,SG,79,220,654469.0,4
Norvel Pelle,C,C,82,231,350189.0,1
